sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
226,power2,LC,All Age,59.40011957,0.000425563,0.716300224,6.497691503,-10234.76631,-10226.45616
227,power2,LC,All Age,98.01802274,0.000203396,0.733346578,6.747541625,-10203.74963,-10195.43948
228,power2,LC,All Age,287.1853143,5.93E-05,0.737892715,8.462385097,-10249.61207,-10241.30192
229,power2,LC,All Age,60.45834304,0.00015808,0.826700183,8.201072386,-10323.81529,-10315.50514
230,power2,LC,All Age,73.41531464,0.000281656,0.735938696,7.182308722,-10242.05204,-10233.74189
231,power2,LC,All Age,62.09041763,0.000247509,0.781879601,6.274075916,-10237.05727,-10228.74712
232,power2,LC,All Age,70.17741588,0.000216352,0.776120085,6.590792137,-10216.36321,-10208.05306
233,power2,LC,All Age,194.1359665,0.000100136,0.728874839,8.388418704,-10206.50371,-10198.19357
234,power2,LC,All Age,260.9107523,7.92E-05,0.729072296,8.563497751,-10308.64003,-10300.32988
235,power2,LC,All Age,368.8814255,6.60E-05,0.709475957,8.030900958,-10224.81899,-10216.50884
236,power2,LC,All Age,85.67229231,0.000217826,0.749201953,8.324038103,-10325.40997,-10317.09982
237,power2,LC,All Age,43.14519438,0.000341629,0.780249134,7.84919024,-10310.42675,-10302.1166
238,power2,LC,All Age,154.7559104,0.00012984,0.734259523,5.917880625,-10192.82313,-10184.51298
239,power2,LC,All Age,49.67411796,0.000184163,0.83143368,6.438726887,-10207.51828,-10199.20813
240,power2,LC,All Age,46.56616019,0.000315032,0.789426435,5.953278354,-10171.38896,-10163.07881
241,power2,LC,All Age,95.78756609,0.000196647,0.74308458,7.361687785,-10269.77014,-10261.45999
242,power2,LC,All Age,65.06722319,0.00020671,0.79281207,7.271469838,-10189.16646,-10180.85631
243,power2,LC,All Age,42.67611103,0.000119184,0.890615056,7.378895202,-10345.08352,-10336.77337
244,power2,LC,All Age,64.11371993,0.000291388,0.745656411,8.565371853,-10228.89004,-10220.57989
245,power2,LC,All Age,58.28028236,0.000343927,0.750437582,7.747936435,-10214.68614,-10206.37599
246,power2,LC,All Age,75.75718483,0.000290952,0.729740709,7.83771116,-10236.3208,-10228.01065
247,power2,LC,All Age,71.91862491,0.000127218,0.823487941,7.183170344,-10259.253,-10250.94285
248,power2,LC,All Age,97.02681432,0.000197653,0.739134789,6.714838697,-10242.0751,-10233.76495
249,power2,LC,All Age,53.44184104,0.000336045,0.759297412,8.521530883,-10285.99543,-10277.68528
250,power2,LC,All Age,93.78600547,0.000162867,0.761711566,8.226132603,-10233.29422,-10224.98407
251,power2,LC,All Age,378.0970541,7.22E-05,0.688606662,8.411070011,-10287.42048,-10279.11033
252,power2,LC,All Age,420.9556845,0.000101048,0.653064052,7.134418525,-10259.5013,-10251.19115
253,power2,LC,All Age,125.6082952,0.000132123,0.74922801,5.860398402,-10193.25929,-10184.94914
254,power2,LC,All Age,63.32648837,0.000287985,0.760013467,8.30198287,-10189.57385,-10181.2637
255,power2,LC,All Age,182.8959484,0.000222637,0.65866098,6.356940734,-10214.87723,-10206.56708
256,power2,LC,All Age,130.4648739,0.00010067,0.778659338,5.817551959,-10186.06337,-10177.75322
257,power2,LC,All Age,195.7128465,0.000112379,0.716453554,5.876892606,-10223.6875,-10215.37735
258,power2,LC,All Age,69.6739521,0.000396716,0.706779613,5.855261175,-10295.16403,-10286.85388
