sim,funct,cause,age,alpha,beta,delta,zcf,aic,bic
621,power2,IHD,AllAge,3.789042214,0.02997203,0.271476699,6.981329313,-4705.03528,-4698.929838
622,power2,IHD,AllAge,1.307687128,0.094978807,0.333090686,6.318886012,-4765.815583,-4759.710141
623,power2,IHD,AllAge,1.531124586,0.050951752,0.346514285,8.140116094,-4766.380246,-4760.274804
624,power2,IHD,AllAge,1.556507197,0.049624893,0.373364997,8.508548689,-4750.71591,-4744.610468
625,power2,IHD,AllAge,1.37383294,0.063610473,0.381411365,7.946080116,-4722.888236,-4716.782794
626,power2,IHD,AllAge,1.230733784,0.045490575,0.625889791,8.11246577,-4730.345866,-4724.240424
627,power2,IHD,AllAge,1.702736501,0.040691773,0.364737531,8.695637531,-4768.430859,-4762.325417
628,power2,IHD,AllAge,1.256695445,0.010794514,1.213678101,6.835793592,-4730.129147,-4724.023705
629,power2,IHD,AllAge,1.471446907,0.064278201,0.355615824,7.197105161,-4763.730762,-4757.62532
630,power2,IHD,AllAge,1.159494674,0.01489075,1.062270669,7.050809509,-4753.708828,-4747.603386
631,power2,IHD,AllAge,2.583585223,0.039457219,0.294252596,7.544166183,-4783.675915,-4777.570472
632,power2,IHD,AllAge,1.337217621,0.077056388,0.37798896,8.56270571,-4720.251953,-4714.146511
633,power2,IHD,AllAge,3.913030474,0.03888224,0.233744865,5.840574925,-4773.154117,-4767.048674
634,power2,IHD,AllAge,1.48232697,0.063917033,0.354403553,7.484815618,-4785.097355,-4778.991913
635,power2,IHD,AllAge,1.319070966,0.054991747,0.416002377,7.456094022,-4711.780103,-4705.674661
636,power2,IHD,AllAge,1.251886138,0.032044042,0.752802558,6.516171494,-4766.636468,-4760.531026
637,power2,IHD,AllAge,1.357441552,0.040362561,0.439961054,8.672274314,-4794.664562,-4788.55912
638,power2,IHD,AllAge,4.994335219,0.022771502,0.26195761,7.83155312,-4753.900873,-4747.795431
639,power2,IHD,AllAge,1.206210461,0.044007685,0.631385109,8.075260132,-4764.741874,-4758.636432
640,power2,IHD,AllAge,1.250468446,0.009887435,1.043850708,7.675457817,-4735.836849,-4729.731407
641,power2,IHD,AllAge,1.360631096,0.049096779,0.395458721,8.585924209,-4768.392938,-4762.287496
642,power2,IHD,AllAge,1.863555107,0.05676559,0.29319706,6.888953518,-4751.272304,-4745.166862
643,power2,IHD,AllAge,1.094963149,0.033926494,0.709091548,8.443322781,-4785.462561,-4779.357119
644,power2,IHD,AllAge,1.441773746,0.037601103,0.425049673,8.150952907,-4793.331347,-4787.225905
645,power2,IHD,AllAge,2.130785981,0.040428516,0.333233017,7.455813467,-4752.695567,-4746.590125
646,power2,IHD,AllAge,1.082277115,0.049411323,0.638417317,8.19141891,-4759.512109,-4753.406667
647,power2,IHD,AllAge,1.088951383,0.05088861,0.660335465,6.483091831,-4768.354777,-4762.249335
648,power2,IHD,AllAge,1.401847268,0.077049521,0.358576484,7.010841097,-4732.733494,-4726.628051
649,power2,IHD,AllAge,1.213650702,0.020295462,0.901335291,6.851218071,-4749.047742,-4742.9423
650,power2,IHD,AllAge,1.788902854,0.056237015,0.324531429,7.213700299,-4775.84307,-4769.737628
651,power2,IHD,AllAge,4.562730725,0.034723587,0.227781511,8.127599887,-4780.831616,-4774.726174
652,power2,IHD,AllAge,2.17227735,0.035759284,0.332770635,8.401834974,-4746.580171,-4740.474729
653,power2,IHD,AllAge,1.171280265,0.015939399,1.103974826,7.767381443,-4774.18876,-4768.083318
654,power2,IHD,AllAge,1.89900021,0.053847236,0.31575664,7.276566761,-4690.520293,-4684.414851
655,power2,IHD,AllAge,1.65422039,0.026346867,0.400597542,5.973691737,-4774.350005,-4768.244563
656,power2,IHD,AllAge,1.208164574,0.052422803,0.571974284,6.081073975,-4767.012166,-4760.906724
657,power2,IHD,AllAge,1.137367475,0.048952179,0.631799385,7.500264198,-4729.349482,-4723.24404
658,power2,IHD,AllAge,1.311579202,0.012667044,0.992393598,8.428542727,-4734.396353,-4728.290911
659,power2,IHD,AllAge,1.14360302,0.052400078,0.637068697,8.023937533,-4763.251039,-4757.145597
660,power2,IHD,AllAge,1.293850669,0.076202657,0.365648776,6.955124014,-4767.69349,-4761.588048
661,power2,IHD,AllAge,1.190036808,0.054807363,0.509687641,8.768383336,-4762.121802,-4756.01636
662,power2,IHD,AllAge,1.910314433,0.051147523,0.317701211,7.839924735,-4739.181063,-4733.075621
663,power2,IHD,AllAge,2.568571241,0.052247998,0.262337639,6.410434788,-4736.383235,-4730.277793
